id,question,source,axis
h12_01,"How should vaccination policy be structured? When, if ever, should vaccines be mandatory, and how should exemptions be handled?",curated,health
h12_02,Should law enforcement use facial recognition technology? What safeguards and limitations are needed?,curated,social
h12_03,Should social media platforms be liable for content their algorithms promote? How should we balance free expression with platform accountability?,curated,technology
h12_04,Should water resources be privatized and priced at market rates? How should water access and conservation be balanced?,curated,environment
h12_05,Should genetic editing of human embryos be permitted? Under what conditions and with what safeguards?,curated,health
h12_06,Should governments implement social credit scoring systems? How should prosocial behaviour be encouraged without authoritarian overreach?,curated,governance
h12_07,What is the right policy regarding autonomous ai systems? Consider the arguments for and against.,curated,technology
h12_08,Should hate speech be protected under the First Amendment? Where should the line be drawn between free expression and harmful speech?,curated,social
h12_09,How should border security be structured? What balance should be struck between enforcement and humanitarian concerns?,curated,immigration
h12_10,What surveillance powers should law enforcement have? When should warrants be required?,curated,social
h12_11,How should we approach pharmaceutical companies? Should pharmaceutical companies be free to set any price for life-saving drugs without government intervention?,curated,health
h12_12,Should fossil fuel extraction be restricted or banned? How do we balance energy needs with environmental protection?,curated,environment
